# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
scope,claim_id,variable,group,reason,n_valid
subgroup,CLM-000194,experience,Less than 1 year,"only 5 valid (non-IDK) answers, below min_subgroup_size=10",5
subgroup,CLM-000459,experience,Less than 1 year,"only 5 valid (non-IDK) answers, below min_subgroup_size=10",5
subgroup,CLM-000100,experience,Less than 1 year,"only 2 valid (non-IDK) answers, below min_subgroup_size=10",2
subgroup,CLM-000015,experience,Less than 1 year,"only 9 valid (non-IDK) answers, below min_subgroup_size=10",9
subgroup,CLM-000238,experience,Less than 1 year,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
subgroup,CLM-000361,experience,Less than 1 year,"only 6 valid (non-IDK) answers, below min_subgroup_size=10",6
subgroup,CLM-000036,experience,Less than 1 year,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
subgroup,CLM-000374,experience,Less than 1 year,"only 7 valid (non-IDK) answers, below min_subgroup_size=10",7
unassigned,CLM-000062,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000179,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000028,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000204,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000086,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
