claim_id,book_id,book_title,chapter_title,section_title,paragraph_index,location_text,ebook_locator,claim_text,sentence_index,citation_status,citation_marker_text,citation_marker_location_text,citation_context,confidence,trigger_rule,trigger_terms,notes,verified,verifier,verification_notes
CLM-000001,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Table of Contents,,7,HughesJohnson2023-scaling-people.epub > Table of Contents >  > para 7,epub:spine=5;para=7,3. Distinguish between management and leadership,3,not_cited,,,,0.65,QUANTITATIVE,3,,,,
CLM-000002,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Table of Contents,,10,HughesJohnson2023-scaling-people.epub > Table of Contents >  > para 10,epub:spine=5;para=10,3. Distinguish between management and leadership,0,not_cited,,,,0.65,QUANTITATIVE,3,,,,
CLM-000003,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Table of Contents,,27,HughesJohnson2023-scaling-people.epub > Table of Contents >  > para 27,epub:spine=5;para=27,Chapter 4 — Core Framework 3: Intentional Team Development Team structures Diagnosing team state Team changes and restructuring (Re)building the team Creating the team environment Team-building complexities Diversity and inclusion Team communication Exercises and templates Notes,0,not_cited,,,,0.65,QUANTITATIVE,4,,,,
CLM-000004,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Table of Contents,,38,HughesJohnson2023-scaling-people.epub > Table of Contents >  > para 38,epub:spine=5;para=38,"Chapter 5 — Core Framework 4: Feedback and Performance Mechanisms Hypothesis-based coaching Giving hard feedback Creating a culture of informal feedback The formal review process Compensation Managing high performers The steady middle Managing low performers Managing managers Managing out, firing, and layoffs Some final thoughts on management Exercises and templates Notes",0,not_cited,,,,0.65,QUANTITATIVE,5,,,,
CLM-000005,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,,0,HughesJohnson2023-scaling-people.epub > Setting your metronome >  > para 0,epub:spine=7;para=0,"But even in recruiting, no one could agree on how many people I should have on my team.",4,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000006,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,,8,HughesJohnson2023-scaling-people.epub > Setting your metronome >  > para 8,epub:spine=7;para=8,"The group was filled with brilliant engineers whose lunch conversations sounded like they were straight out of 2001: A Space Odyssey , but the team also needed to manage supply chains, perform complex operational testing, coordinate across teams building hardware and software, run planning processes, and motivate team members.",4,not_cited,,,,0.65,QUANTITATIVE,2001,,,,
CLM-000007,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Setting your metronome,19,HughesJohnson2023-scaling-people.epub > Setting your metronome > Setting your metronome > para 19,epub:spine=7;para=19,You can always spot a great manager by the strength of their team.,0,not_cited,,,,0.65,GENERALIZATION,always,,,,
CLM-000008,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Setting your metronome,20,HughesJohnson2023-scaling-people.epub > Setting your metronome > Setting your metronome > para 20,epub:spine=7;para=20,You can’t sit in on another manager’s 1:1s.,3,not_cited,,,,0.65,QUANTITATIVE,1,,,,
CLM-000009,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Setting your metronome,25,HughesJohnson2023-scaling-people.epub > Setting your metronome > Setting your metronome > para 25,epub:spine=7;para=25,"5 In other words, to make a break-through performance improvement during the autonomous stage, you need to set an uncomfortable pace for yourself.",1,not_cited,,,,0.65,QUANTITATIVE,5 ,,,,
CLM-000010,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,The core frameworks,33,HughesJohnson2023-scaling-people.epub > Setting your metronome > The core frameworks > para 33,epub:spine=7;para=33,"Depending on your business, there is also likely a set of cross-company or cross-team day-to-day activities that should be standardized.",0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000011,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,The core frameworks,35,HughesJohnson2023-scaling-people.epub > Setting your metronome > The core frameworks > para 35,epub:spine=7;para=35,"Even if a person’s job hasn’t changed, the scope of it has, and the individual must “scale to the call” to maintain their performance and produce results.",2,not_cited,,,,0.8,NORMATIVE,must,,,,
CLM-000012,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Management Prerequisites Checklist,58,HughesJohnson2023-scaling-people.epub > Setting your metronome > Management Prerequisites Checklist > para 58,epub:spine=7;para=58,"□ Hold more formal performance conversations every 3, 6, or 12 months (the more rapidly your company is changing, the more often these should occur) that emphasize both the results the person achieved (or didn’t) and how the person did or did not achieve those results.",4,not_cited,,,,0.9000000000000001,NORMATIVE|QUANTITATIVE|GENERALIZATION,should|3|often,,,,
