# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
claim_id,bucket,survey_text,full_sample_n,directional_denominator,idk_rate_pct,pct_agree,pct_disagree,pct_neutral,reason
CLM-000062,idk_dominant,"Manual software development, even with excellent methodologies, cannot be more than about 15 percent better than average development, due to intrinsic limits on human performance and legal limits on working hours without fatigue.",751,514,31.56,,,,"31.6% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000194,idk_dominant,"Organizations adopting static application security testing (SAST) tools should have dedicated staff within Scrum teams responsible for this work, appoint security champions to liaise with the security team, and ensure enough security staff are available to train developers on secure development practices and proper tool use.",751,483,35.69,,,,"35.7% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000026,mixed,Functionality remains the key factor in determining a product's success.,751,727,3.2,40.85,40.17,18.98,"neither side passed 50%: 40.9% agreed, 40.2% disagreed, 19.0% neutral (neutral counts toward the denominator but toward neither side)"
CLM-000459,idk_dominant,"Testing on its own, without pretest defect removal, is expensive and rarely exceeds 85 percent in defect removal efficiency.",751,400,46.74,,,,"46.7% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000100,idk_dominant,Testing tools that link requirements to test cases typically do so by connecting requirement IDs with test IDs.,751,351,53.26,,,,"53.3% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000115,mixed,Organizations that sell software often want to limit the use of specific free and open source software (FOSS) licenses in their environment.,751,645,14.11,46.36,30.7,22.95,"neither side passed 50%: 46.4% agreed, 30.7% disagreed, 22.9% neutral (neutral counts toward the denominator but toward neither side)"
CLM-000224,idk_dominant,"A domain analysis should describe how the current application works, including any existing software used to support it.",751,480,36.09,,,,"36.1% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000470,idk_dominant,"After initial development, software applications continue to grow in size by roughly 8 percent per year.",751,500,33.42,,,,"33.4% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000015,idk_dominant,"Software or code inspection should not be confused with code review or walkthrough, which is typically completed in a single meeting lasting a couple of hours.",751,517,31.16,,,,"31.2% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000178,idk_dominant,"Cost per defect increases as software quality improves, which contradicts the assumptions behind standard economic measures of quality.",751,519,30.89,,,,"30.9% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000238,idk_dominant,"Only about 20 percent of design code is typically reused in practice, well below an ideal reuse rate of around 75 percent.",751,426,43.28,,,,"43.3% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000361,idk_dominant,Production rate is often paired with assignment scope to produce software cost and schedule estimates for specific activities.,751,285,62.05,,,,"62.1% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000036,idk_dominant,About 95 percent of the API endpoints used in data science work are GET and POST requests.,751,464,38.22,,,,"38.2% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000581,mixed,Software applications must meet durability criteria to be successful.,751,669,10.92,40.66,39.91,19.43,"neither side passed 50%: 40.7% agreed, 39.9% disagreed, 19.4% neutral (neutral counts toward the denominator but toward neither side)"
CLM-000486,mixed,"As software quality improves, cost per defect rises sharply.",751,564,24.9,31.91,38.48,29.61,"neither side passed 50%: 31.9% agreed, 38.5% disagreed, 29.6% neutral (neutral counts toward the denominator but toward neither side)"
CLM-000374,idk_dominant,Defect removal efficiency ranges from as high as 99.65 percent to as low as under 77 percent.,751,266,64.58,,,,"64.6% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix"
CLM-000122,mixed,"Teams should select only the metrics most relevant to their own product and market, rather than industry-wide standard metrics, and automate them to make adoption easier under time constraints.",751,612,18.51,49.51,23.69,26.8,"neither side passed 50%: 49.5% agreed, 23.7% disagreed, 26.8% neutral (neutral counts toward the denominator but toward neither side)"
