# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
q_number,claim_id,claim_type,book,survey_text,bucket,full_sample_n,directional_denominator,idk_n,idk_rate_pct,pct_agree,pct_disagree,pct_neutral,majority_direction,belief_label,bucket_reason,freq_1,freq_2,freq_3,freq_4,freq_5,bimodal,evidence_label,evidence_strength,verdict_status,belief_evidence_mismatch,mismatch_kind,in_matrix,experience_group_1_n,experience_group_2_n,experience_group_1_median,experience_group_2_median,mannwhitney_u,mannwhitney_p_raw,mannwhitney_p_corrected,significant_after_correction,effect_size,effect_magnitude,experience_not_tested_reason,role_breakdown,n_comments
1,CLM-000062,QUANTITATIVE,Software Development Patterns and Antipatterns,"Manual software development, even with excellent methodologies, cannot be more than about 15 percent better than average development, due to intrinsic limits on human performance and legal limits on working hours without fatigue.",idk_dominant,751,514,237,31.56,,,,,,"31.6% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",151,244,62,46,11,False,,,excluded,False,,False,101,413,2.0,2.0,22170.0,0.2914176131917393,0.560418486907191,False,,,,,228
2,CLM-000179,NORMATIVE,Software Durability Concepts and Practices,The cost of breaching a system's security should be greater than the value of the assets it protects.,clear_direction,751,698,53,7.06,72.06,15.76,12.18,agreed,Majority agreed,"72.1% of the 698 directional answers agreed, above the 50% threshold",38,72,85,341,162,False,SUPPORTED,,match,False,,True,148,550,4.0,4.0,45169.5,0.027588671634927044,0.1379433581746352,False,,,,"Developer: n=326, 75% agree, 14% disagree | Tech lead: n=145, 72% agree, 17% disagree | Architect: n=66, 71% agree, 20% disagree | Other: n=56, 62% agree, 14% disagree | Engineering manager: n=39, 69% agree, 23% disagree | Researcher: n=34, 74% agree, 18% disagree | Consultant: n=31, 61% agree, 16% disagree | (not recorded): n=1, 100% agree, 0% disagree",137
3,CLM-000028,CAUSAL,Software Durability Concepts and Practices,Some known software durability issues go unaddressed during development because of time constraints or other project pressures.,clear_direction,751,739,12,1.6,98.11,1.22,0.68,agreed,Majority agreed,"98.1% of the 739 directional answers agreed, above the 50% threshold",3,6,5,209,516,False,SUPPORTED,,match,False,,True,151,588,5.0,5.0,44948.5,0.7667299292491816,0.9264610060862619,False,,,,"Developer: n=349, 98% agree, 1% disagree | Tech lead: n=147, 99% agree, 1% disagree | Architect: n=71, 100% agree, 0% disagree | Other: n=59, 98% agree, 0% disagree | Engineering manager: n=43, 95% agree, 5% disagree | Researcher: n=35, 97% agree, 3% disagree | Consultant: n=33, 97% agree, 3% disagree | (not recorded): n=2, 100% agree, 0% disagree",72
4,CLM-000204,CAUSAL,A Guide to Selecting Software Measures and Metrics,Projects that run late and have significant cost overruns are primarily caused by excessive defects that are not discovered or removed until testing begins.,clear_direction,751,722,29,3.86,11.77,65.51,22.71,disagreed,Majority disagreed,"65.5% of the 722 directional answers disagreed, above the 50% threshold",142,331,164,75,10,False,CONTRADICTED,,match,False,,True,147,575,2.0,2.0,47309.0,0.01734597339236578,0.10841233370228612,False,,,,"Developer: n=336, 12% agree, 62% disagree | Tech lead: n=147, 10% agree, 74% disagree | Architect: n=70, 21% agree, 61% disagree | Other: n=58, 9% agree, 55% disagree | Engineering manager: n=42, 10% agree, 83% disagree | Researcher: n=35, 3% agree, 60% disagree | Consultant: n=32, 12% agree, 75% disagree | (not recorded): n=2, 0% agree, 100% disagree",223
5,CLM-000086,GENERALIZATION,"Secure, Resilient, and Agile Software Development",The attack surface of an application is usually larger than a typical developer or software architect imagines.,clear_direction,751,735,16,2.13,94.69,1.22,4.08,agreed,Majority agreed,"94.7% of the 735 directional answers agreed, above the 50% threshold",2,7,30,401,295,False,SUPPORTED,,match,False,,True,147,588,4.0,4.0,41675.0,0.44604141285441545,0.7434023547573592,False,,,,"Developer: n=345, 95% agree, 2% disagree | Tech lead: n=148, 97% agree, 1% disagree | Architect: n=73, 93% agree, 1% disagree | Other: n=57, 89% agree, 0% disagree | Engineering manager: n=42, 90% agree, 2% disagree | Researcher: n=35, 100% agree, 0% disagree | Consultant: n=33, 94% agree, 0% disagree | (not recorded): n=2, 100% agree, 0% disagree",58
6,CLM-000131,CAUSAL,Software Testing 2020,A lack of an integrated build process makes deployment planning significantly harder and delays production deployment schedules.,clear_direction,751,687,64,8.52,76.56,8.73,14.7,agreed,Majority agreed,"76.6% of the 687 directional answers agreed, above the 50% threshold",7,53,101,334,192,False,SUPPORTED,,match,False,,True,131,556,4.0,4.0,36346.5,0.9701072164057267,0.9728491033484499,False,,,,"Developer: n=320, 77% agree, 10% disagree | Tech lead: n=139, 77% agree, 11% disagree | Architect: n=68, 75% agree, 6% disagree | Other: n=54, 76% agree, 6% disagree | Engineering manager: n=41, 78% agree, 2% disagree | Researcher: n=32, 72% agree, 12% disagree | Consultant: n=32, 81% agree, 6% disagree | (not recorded): n=1, 0% agree, 0% disagree",86
7,CLM-000337,COMPARATIVE,Software Development Patterns and Antipatterns,"When software quality improves and frees up personnel, the best use of that capacity for commercial software companies is expanding into new types of software and taking on more projects per year.",clear_direction,751,644,107,14.25,11.34,50.62,38.04,disagreed,Majority disagreed,"50.6% of the 644 directional answers disagreed, above the 50% threshold",83,243,245,67,6,False,CONTRADICTED,,match,False,,True,136,508,2.0,3.0,32129.0,0.18362868866809223,0.4318439325488376,False,,,,"Developer: n=297, 8% agree, 54% disagree | Tech lead: n=134, 16% agree, 44% disagree | Architect: n=65, 15% agree, 46% disagree | Other: n=50, 10% agree, 50% disagree | Engineering manager: n=39, 21% agree, 56% disagree | Researcher: n=31, 3% agree, 48% disagree | Consultant: n=26, 15% agree, 46% disagree | (not recorded): n=2, 0% agree, 100% disagree",157
8,CLM-000101,NORMATIVE,DevOps for Data Science,"All infrastructure changes should go through a formal change management process and be deployed using Infrastructure as Code tools, so environments can be torn down and rebuilt quickly.",clear_direction,751,691,60,7.99,60.2,16.06,23.73,agreed,Majority agreed,"60.2% of the 691 directional answers agreed, above the 50% threshold",27,84,164,304,112,False,SUPPORTED,,match,False,,True,135,556,4.0,4.0,40110.5,0.19001133032148854,0.4318439325488376,False,,,,"Developer: n=320, 63% agree, 14% disagree | Tech lead: n=140, 54% agree, 14% disagree | Architect: n=69, 59% agree, 22% disagree | Other: n=56, 62% agree, 21% disagree | Engineering manager: n=42, 60% agree, 19% disagree | Researcher: n=29, 55% agree, 21% disagree | Consultant: n=33, 64% agree, 18% disagree | (not recorded): n=2, 50% agree, 0% disagree",180
9,CLM-000059,CAUSAL,Client-Centered Software Development; The CO-FOSS Approach,Establishing effective online forums allows developers and users to discuss specific usability issues related to the software.,clear_direction,751,713,38,5.06,73.77,7.85,18.37,agreed,Majority agreed,"73.8% of the 713 directional answers agreed, above the 50% threshold",11,45,131,414,112,False,SUPPORTED,,match,False,,True,149,564,4.0,4.0,50844.5,9.430038051867526e-06,0.00047150190259337627,True,0.2101,small,,"Developer: n=340, 78% agree, 6% disagree | Tech lead: n=139, 68% agree, 10% disagree | Architect: n=66, 76% agree, 6% disagree | Other: n=58, 71% agree, 7% disagree | Engineering manager: n=42, 62% agree, 5% disagree | Researcher: n=36, 81% agree, 8% disagree | Consultant: n=30, 63% agree, 23% disagree | (not recorded): n=2, 100% agree, 0% disagree",106
10,CLM-000329,COMPARATIVE,What Every Engineer Should Know about Software Engineering,Motivating team members through example and leadership is more effective than motivating them through hierarchical authority.,clear_direction,751,731,20,2.66,93.84,1.09,5.06,agreed,Majority agreed,"93.8% of the 731 directional answers agreed, above the 50% threshold",3,5,37,204,482,False,SUPPORTED,,match,False,,True,149,582,5.0,5.0,43452.5,0.9612164184823022,0.9728491033484499,False,,,,"Developer: n=343, 95% agree, 0% disagree | Tech lead: n=146, 92% agree, 0% disagree | Architect: n=72, 92% agree, 3% disagree | Other: n=58, 90% agree, 5% disagree | Engineering manager: n=43, 95% agree, 0% disagree | Researcher: n=35, 97% agree, 3% disagree | Consultant: n=32, 97% agree, 3% disagree | (not recorded): n=2, 100% agree, 0% disagree",71
