# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
claim_id,survey_text,group_1_label,group_1_n,group_1_median,group_1_idk,group_2_label,group_2_n,group_2_median,group_2_idk,mannwhitney_u,mannwhitney_p_raw,mannwhitney_p_corrected,significant_after_correction,effect_size,effect_magnitude,favourable_pairs,unfavourable_pairs,tied_pairs,tested,not_tested_reason,correction,alpha,family_size
CLM-000062,"Manual software development, even with excellent methodologies, cannot be more than about 15 percent better than average development, due to intrinsic limits on human performance and legal limits on working hours without fatigue.",Under 10 years,101,2.0,52,10+ years,413,2.0,185,22170.0,0.2914176131917393,0.560418486907191,False,,,,,,True,,fdr_bh,0.05,50
CLM-000179,The cost of breaching a system's security should be greater than the value of the assets it protects.,Under 10 years,148,4.0,5,10+ years,550,4.0,48,45169.5,0.027588671634927044,0.1379433581746352,False,,,,,,True,,fdr_bh,0.05,50
CLM-000028,Some known software durability issues go unaddressed during development because of time constraints or other project pressures.,Under 10 years,151,5.0,2,10+ years,588,5.0,10,44948.5,0.7667299292491816,0.9264610060862619,False,,,,,,True,,fdr_bh,0.05,50
CLM-000204,Projects that run late and have significant cost overruns are primarily caused by excessive defects that are not discovered or removed until testing begins.,Under 10 years,147,2.0,6,10+ years,575,2.0,23,47309.0,0.01734597339236578,0.10841233370228612,False,,,,,,True,,fdr_bh,0.05,50
CLM-000086,The attack surface of an application is usually larger than a typical developer or software architect imagines.,Under 10 years,147,4.0,6,10+ years,588,4.0,10,41675.0,0.44604141285441545,0.7434023547573592,False,,,,,,True,,fdr_bh,0.05,50
CLM-000131,A lack of an integrated build process makes deployment planning significantly harder and delays production deployment schedules.,Under 10 years,131,4.0,22,10+ years,556,4.0,42,36346.5,0.9701072164057267,0.9728491033484499,False,,,,,,True,,fdr_bh,0.05,50
CLM-000337,"When software quality improves and frees up personnel, the best use of that capacity for commercial software companies is expanding into new types of software and taking on more projects per year.",Under 10 years,136,2.0,17,10+ years,508,3.0,90,32129.0,0.18362868866809223,0.4318439325488376,False,,,,,,True,,fdr_bh,0.05,50
CLM-000101,"All infrastructure changes should go through a formal change management process and be deployed using Infrastructure as Code tools, so environments can be torn down and rebuilt quickly.",Under 10 years,135,4.0,18,10+ years,556,4.0,42,40110.5,0.19001133032148854,0.4318439325488376,False,,,,,,True,,fdr_bh,0.05,50
CLM-000059,Establishing effective online forums allows developers and users to discuss specific usability issues related to the software.,Under 10 years,149,4.0,4,10+ years,564,4.0,34,50844.5,9.430038051867526e-06,0.00047150190259337627,True,0.2101,small,34031.0,16378.0,33627.0,True,,fdr_bh,0.05,50
CLM-000329,Motivating team members through example and leadership is more effective than motivating them through hierarchical authority.,Under 10 years,149,5.0,4,10+ years,582,5.0,16,43452.5,0.9612164184823022,0.9728491033484499,False,,,,,,True,,fdr_bh,0.05,50
CLM-000060,Quality is an essential aspect of software that contributes to its long-term durability.,Under 10 years,147,5.0,6,10+ years,585,5.0,13,43372.0,0.8478714159741491,0.9420793510823878,False,,,,,,True,,fdr_bh,0.05,50
CLM-000073,Most companies focus primarily on faster development and set deadlines without properly estimating software durability.,Under 10 years,137,4.0,16,10+ years,561,4.0,37,39379.5,0.6188502124449416,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000194,"Organizations adopting static application security testing (SAST) tools should have dedicated staff within Scrum teams responsible for this work, appoint security champions to liaise with the security team, and ensure enough security staff are available to train developers on secure development practices and proper tool use.",Under 10 years,91,4.0,62,10+ years,392,3.0,206,21210.5,0.003137049224201908,0.03921311530252385,True,0.1892,small,16193.0,9444.0,10035.0,True,,fdr_bh,0.05,50
CLM-000026,Functionality remains the key factor in determining a product's success.,Under 10 years,149,4.0,4,10+ years,578,3.0,20,50151.5,0.0013192187957432322,0.021986979929053872,True,0.1647,small,39809.0,25628.0,20685.0,True,,fdr_bh,0.05,50
