claim_id,book_id,book_title,chapter_title,section_title,paragraph_index,location_text,ebook_locator,claim_text,sentence_index,citation_status,citation_marker_text,citation_marker_location_text,citation_context,confidence,notes,verified,verifier,verification_notes
CLM-000215,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Praise for The Manager’s Path,,1,Praise for The Manager’s Path >  > para 1,epub:spine=0;para=1,"It’s not a generic management book.” Without hesitation I recommend this book for literally everyone who works in or around software engineering, at whatever level, whether or not you believe management is for you.",1,not_cited,,,,0.75,,,,
CLM-000216,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Praise for The Manager’s Path,,1,Praise for The Manager’s Path >  > para 1,epub:spine=0;para=1,"In software engineering we often treat management as something between a fate to be avoided, an obstacle, and a reward for being the loudest person in the room.",2,not_cited,,,,0.6000000000000001,,,,
CLM-000217,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,,5,What to Expect from a Manager >  > para 5,epub:spine=6;para=5,"At a minimum, there are a few tasks that you should expect your manager to perform as needed, in order to keep you and your team on track.",0,not_cited,,,,0.75,,,,
CLM-000218,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,One-on-One Meetings,8,What to Expect from a Manager > One-on-One Meetings > para 8,epub:spine=6;para=8,"The bedrock of strong teams is human connection, which leads to trust.",4,not_cited,,,,0.7000000000000001,,,,
CLM-000219,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Feedback and Workplace Guidance,15,What to Expect from a Manager > Feedback and Workplace Guidance > para 15,epub:spine=6;para=15,"If you’ve written a design doc, she should be able to provide ideas of areas for improvement.",2,not_cited,,,,0.75,,,,
CLM-000220,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Feedback and Workplace Guidance,15,What to Expect from a Manager > Feedback and Workplace Guidance > para 15,epub:spine=6;para=15,"As engineers, we get code feedback mostly from our peers, but you will do things other than code, and your manager should act as a resource to help you improve those things.",3,not_cited,,,,0.75,,,,
CLM-000221,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Feedback and Workplace Guidance,16,What to Expect from a Manager > Feedback and Workplace Guidance > para 16,epub:spine=6;para=16,"If you’re struggling with a teammate or a person on another team, your manager should be there to help you navigate that situation, and she can work with the other person or team as necessary to help you get to resolution.",2,not_cited,,,,0.7,,,,
CLM-000222,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Feedback and Workplace Guidance,17,What to Expect from a Manager > Feedback and Workplace Guidance > para 17,epub:spine=6;para=17,"Your manager should be the person who shows you the larger picture of how your work fits into the team’s goals, and helps you feel a sense of purpose in the day-to-day work.",2,not_cited,,,,0.75,,,,
CLM-000223,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Feedback and Workplace Guidance,18,What to Expect from a Manager > Feedback and Workplace Guidance > para 18,epub:spine=6;para=18,"It’s even more important as you become more senior that you feel comfortable driving your 1-1s and bringing topics for discussion or feedback to your manager, because she is otherwise unlikely to spend a lot of time on this outside of performance reviews.",3,not_cited,,,,0.6000000000000001,,,,
CLM-000224,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Training and Career Growth,23,What to Expect from a Manager > Training and Career Growth > para 23,epub:spine=6;para=23,"Managers usually cannot guarantee promotions, but good managers know what the system is looking for and can help you build those achievements and skills.",2,not_cited,,,,0.55,,,,
CLM-000225,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,What to Expect from a Manager,Ask the CTO: Big Ambitions,27,What to Expect from a Manager > Ask the CTO: Big Ambitions > para 27,epub:spine=6;para=27,One thing that early career engineers often don’t appreciate is how their current peers will turn into their future jobs.,1,not_cited,,,,0.6000000000000001,,,,
CLM-000226,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 2. Mentoring,,0,Chapter 2. Mentoring >  > para 0,epub:spine=7;para=0,The first act of people management for many engineers is often unofficial.,0,not_cited,,,,0.6000000000000001,,,,
CLM-000227,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Being a Mentor,Ask the CTO: Mentoring a Summer Intern,18,Being a Mentor > Ask the CTO: Mentoring a Summer Intern > para 18,epub:spine=7;para=18,"If he completes it before the end of the program, great — he should hopefully know enough about some part of your code base to do other work for the rest of the time.",6,not_cited,,,,0.75,,,,
CLM-000228,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Being a Mentor,Ask the CTO: Mentoring a Summer Intern,19,Being a Mentor > Ask the CTO: Mentoring a Summer Intern > para 19,epub:spine=7;para=19,"If your team does regular demo days or team meetings, the presentation should probably follow that format.",4,not_cited,,,,0.75,,,,
CLM-000229,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Being a Mentor,Technical or Career Mentoring,28,Being a Mentor > Technical or Career Mentoring > para 28,epub:spine=7;para=28,This type of mentoring is usually not a formal relationship and may be an expected part of the job for senior engineers because it delivers so much value to the team.,4,not_cited,,,,0.55,,,,
CLM-000230,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Being a Mentor,Technical or Career Mentoring,29,Being a Mentor > Technical or Career Mentoring > para 29,epub:spine=7;para=29,"Many companies run formal mentoring programs where they match people up across teams, and while these programs can sometimes enhance networks, they are often an ambiguous obligation for both the mentor and the mentee.",0,not_cited,,,,0.55,,,,
CLM-000231,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,33,"Good Manager, Bad Manager: The Alpha Geek >  > para 33",epub:spine=7;para=33,"In some offices, whether in a mentoring relationship or outside of one, you’ll encounter an “alpha geek.” The alpha geek is driven to be the best engineer on the team, to always have the right answer, and to be the person who solves all the hard problems.",0,not_cited,,,,0.6000000000000001,,,,
CLM-000232,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,34,"Good Manager, Bad Manager: The Alpha Geek >  > para 34",epub:spine=7;para=34,"The alpha geek is usually an excellent, effective engineer who goes into management either because she was pushed into it or because she believes that the smartest person on the team should be the manager.",0,not_cited,,,,0.8,,,,
CLM-000233,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,36,"Good Manager, Bad Manager: The Alpha Geek >  > para 36",epub:spine=7;para=36,"The alpha geek believes that every developer should know exactly what she knows, and if you don’t know something, she will gleefully point out your ignorance.",2,not_cited,,,,0.75,,,,
CLM-000234,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,37,"Good Manager, Bad Manager: The Alpha Geek >  > para 37",epub:spine=7;para=37,The alpha geek habit often starts to show up when engineers first become mentors.,0,not_cited,,,,0.6000000000000001,,,,
CLM-000235,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,39,"Good Manager, Bad Manager: The Alpha Geek >  > para 39",epub:spine=7;para=39,"Highly technical hands-on managers can be good for small teams of senior engineers, but alpha geeks are often better off kept out of management and given more of a focus on technical strategy and system design.",1,not_cited,,,,0.55,,,,
CLM-000236,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,39,"Good Manager, Bad Manager: The Alpha Geek >  > para 39",epub:spine=7;para=39,"You tend to see alpha geeks in the CTO role at technology-focused startups, where they are given a design and development focus across from an execution-focused Vice President of Engineering.",2,not_cited,,,,0.6000000000000001,,,,
CLM-000237,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,"Good Manager, Bad Manager: The Alpha Geek",,40,"Good Manager, Bad Manager: The Alpha Geek >  > para 40",epub:spine=7;para=40,"Alpha geeks who believe that their value comes from knowing more than others can also hide information in order to maintain their edge, which makes everyone on the team less effective.",2,not_cited,,,,0.6,,,,
CLM-000238,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Tips for the Manager of a Mentor,,44,Tips for the Manager of a Mentor >  > para 44,epub:spine=7;para=44,"Whatever the source of the mentoring arrangement, common mentoring pitfalls include viewing it as a low-status “emotional labor” position, assuming that “like” must mentor “like,” and failing to use the opportunity to observe potential on your team firsthand.",0,not_cited,,,,0.75,,,,
CLM-000239,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Tips for the Manager of a Mentor,,45,Tips for the Manager of a Mentor >  > para 45,epub:spine=7;para=45,"Because the outcome can be hard to quantitatively measure, emotional labor is often dismissed as less important work than writing software.",1,not_cited,,,,0.55,,,,
CLM-000240,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,1,Chapter 3. Tech Lead >  > para 1,epub:spine=8;para=1,"One particularly memorable struggle was a person who was an amazing engineer, wrote great code, but hated talking to people and often got distracted by technical details.",1,not_cited,,,,0.6000000000000001,,,,
CLM-000241,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,1,Chapter 3. Tech Lead >  > para 1,epub:spine=8;para=1,"The idea that the tech lead role should automatically be given to the most experienced engineer, the one who can handle the most complex features or who writes the best code, is a common misconception that even experienced managers fall for.",6,not_cited,,,,0.7,,,,
CLM-000242,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,2,Chapter 3. Tech Lead >  > para 2,epub:spine=8;para=2,"The tech lead may not have exactly the same role from company to company, or even from team to team within a company, but we know from the title that it is expected to be both a technical position and a leadership role, and that it is often a temporary set of responsibilities rather than a permanent title.",6,not_cited,,,,0.55,,,,
CLM-000243,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,3,Chapter 3. Tech Lead >  > para 3,epub:spine=8;para=3,"These standards include: Regular (weekly) 1-1 touchbases Regular feedback on career growth, progression towards goals, areas for improvement, and praise as warranted Working with reports to identify areas for learning and helping them grow in these areas via project work, external learning, or additional mentoring If a tech lead is not managing directly, they are still expected to provide mentorship and guidance to the other members of the team.",2,not_cited,,,,0.6000000000000001,,,,
CLM-000244,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,3,Chapter 3. Tech Lead >  > para 3,epub:spine=8;para=3,"It is not required that an engineer work as a tech lead to progress, but it is the most common way for engineers to grow from senior engineer 1 -> 2 and is required to grow from senior engineer 2 to engineering lead.",7,not_cited,,,,0.7500000000000001,,,,
CLM-000245,51232aa625f0bee54b790b1af18d8865472c0c63,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Chapter 3. Tech Lead,,9,Chapter 3. Tech Lead >  > para 9,epub:spine=8;para=9,"This is a senior engineering role, but it’s a mistake to tie the notion of tech lead to one that boils down to the best or most experienced engineer on the team.",3,not_cited,,,,0.7000000000000001,,,,
